ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
NA,NA,NA,NA,NA,NA,NA,NA,0.012228789,0,52-110,15,4,26,0,6,15,2019,4-111
NA,NA,NA,NA,NA,NA,NA,NA,0.015656322,20,52-112,16,1,13,1,6,19,2006,4-112
NA,NA,NA,NA,NA,NA,NA,NA,0.017332651,18,52-112,16,1,14,0,6,14,2007,4-112
NA,NA,NA,NA,NA,NA,NA,NA,0.018621915,33,52-112,16,1,15,0,6,19,2008,4-112
NA,NA,NA,NA,NA,NA,NA,NA,0.020920067,19,52-112,16,1,16,0,6,17,2009,4-112
NA,NA,NA,NA,NA,NA,NA,NA,0.025819405,21,52-112,16,1,17,0,6,27,2010,4-112
NA,NA,NA,NA,NA,NA,NA,NA,0.034987054,1,52-112,16,1,18,0,6,27,2011,4-112
NA,NA,NA,NA,NA,NA,NA,NA,0.050062061,6,52-112,16,1,19,0,6,18,2012,4-112
NA,NA,NA,NA,NA,NA,NA,NA,0.070224487,22,52-112,16,1,24,0,6,19,2017,4-112
NA,NA,NA,NA,NA,NA,NA,NA,0.090322061,16,52-112,16,1,25,0,6,18,2018,4-112
NA,NA,NA,NA,NA,NA,NA,NA,0.104761516,30,52-112,16,1,26,0,6,17,2019,4-112
NA,NA,NA,NA,NA,NA,NA,NA,0.108579281,22,52-112,16,2,2,1,6,22,1995,4-112
NA,NA,NA,NA,NA,NA,NA,NA,0.102997903,6,52-112,16,3,1,1,6,21,1994,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.092751108,6,52-112,16,3,2,0,6,23,1995,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.082609489,6,52-112,16,3,3,0,6,21,1996,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.075599521,4,52-112,16,3,4,0,6,21,1997,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.070171091,6,52-112,16,3,5,0,6,15,1998,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.064032492,4,52-112,16,3,6,0,6,21,1999,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.054949903,0,52-112,16,3,7,0,6,23,2000,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.041661811,10,52-112,16,3,8,0,6,15,2001,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.023713489,23,52-112,16,3,9,0,6,24,2002,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.000674635,5,52-112,16,3,10,0,6,25,2003,4-113
NA,NA,NA,NA,NA,NA,NA,NA,-0.122014361,10,52-112,16,3,11,0,6,20,2004,4-113
NA,NA,NA,NA,NA,NA,NA,NA,-0.076065705,11,52-112,16,3,12,0,6,22,2005,4-113
NA,NA,NA,NA,NA,NA,NA,NA,-0.041531217,4,52-112,16,3,14,0,6,17,2007,4-113
NA,NA,NA,NA,NA,NA,NA,NA,-0.017399011,4,52-112,16,3,15,0,6,14,2008,4-113
NA,NA,NA,NA,NA,NA,NA,NA,-0.002634796,8,52-112,16,3,16,0,6,20,2009,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.004535855,0,52-112,16,3,18,0,7,2,2011,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.006779346,3,52-112,16,3,19,0,6,30,2012,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.006815186,14,52-112,16,3,20,0,6,22,2013,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.007167721,8,52-112,16,3,22,0,6,13,2015,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.009156896,3,52-112,16,3,23,0,6,14,2016,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.01364366,2,52-112,16,3,24,0,6,12,2017,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.021489241,4,52-112,16,3,25,0,6,19,2018,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.033657531,0,52-112,16,3,26,0,6,11,2019,4-113
NA,NA,NA,NA,NA,NA,NA,NA,0.051293298,0,52-112,16,4,1,1,6,24,1994,4-119
NA,NA,NA,NA,NA,NA,NA,NA,0.075559726,0,52-112,16,4,2,0,6,22,1995,4-119
NA,NA,NA,NA,NA,NA,NA,NA,0.107190833,0,52-112,16,4,3,0,6,12,1996,4-119
NA,NA,NA,NA,NA,NA,NA,NA,0.142704546,0,52-112,16,4,4,0,6,28,1997,4-119
NA,NA,NA,NA,NA,NA,NA,NA,0.176225781,0,52-112,16,4,5,0,6,10,1998,4-119
NA,NA,NA,NA,NA,NA,NA,NA,0.201855357,0,52-112,16,4,7,0,6,17,2000,4-119
NA,NA,NA,NA,NA,NA,NA,NA,0.215406619,1,52-112,16,4,8,0,6,9,2001,4-119
NA,NA,NA,NA,NA,NA,NA,NA,0.217186596,20,52-112,16,5,6,1,6,30,1999,12-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.208230478,30,52-112,16,5,7,0,6,23,2000,12-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.189509793,3,52-112,16,5,10,0,6,24,2003,12-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.160926778,1,52-112,16,5,11,0,6,26,2004,12-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.1214964,12,52-112,16,5,12,0,7,6,2005,12-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.070206772,12,52-112,16,5,13,0,6,20,2006,12-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.10760467,12,52-112,16,5,14,0,6,19,2007,12-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.066185713,0,52-112,16,6,19,1,6,16,2012,4-120
NA,NA,NA,NA,NA,NA,NA,NA,0.03556983,8,52-112,16,7,13,1,6,1,2006,4-120
NA,NA,NA,NA,NA,NA,NA,NA,0.014260105,8,52-112,16,7,14,0,6,18,2007,4-120
NA,NA,NA,NA,NA,NA,NA,NA,0.000759012,9,52-112,16,7,15,0,6,12,2008,4-120
NA,NA,NA,NA,NA,NA,NA,NA,-0.006451148,7,52-112,16,7,16,0,6,15,2009,4-120
NA,NA,NA,NA,NA,NA,NA,NA,-0.008912388,20,52-112,16,7,17,0,6,17,2010,4-120
NA,NA,NA,NA,NA,NA,NA,NA,-0.008168167,0,54-112,18,1,1,1,6,25,1994,4-128
NA,NA,NA,NA,NA,NA,NA,NA,-0.005582718,2,54-112,18,1,2,0,6,12,1995,4-128
NA,NA,NA,NA,NA,NA,NA,NA,-0.001414221,5,54-112,18,1,3,0,6,17,1996,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.004500655,0,54-112,18,1,4,0,6,11,1997,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.012329702,0,54-112,18,1,5,0,6,18,1998,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.02255698,0,54-112,18,1,6,0,6,12,1999,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.036223765,0,54-112,18,1,7,0,6,17,2000,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.054428051,0,54-112,18,1,8,0,6,9,2001,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.078380892,3,54-112,18,1,9,0,6,15,2002,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.110404032,3,54-112,18,1,10,0,6,16,2003,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.153449632,2,54-112,18,1,11,0,6,19,2004,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.210476096,4,54-112,18,1,12,0,6,17,2005,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.283936522,4,54-112,18,1,13,0,6,6,2006,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.374958082,0,54-112,18,1,14,0,6,16,2007,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.484453097,4,54-112,18,1,15,0,6,17,2008,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.613352067,1,54-112,18,1,16,0,6,19,2009,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.762890855,1,54-112,18,1,17,0,6,19,2010,4-128
NA,NA,NA,NA,NA,NA,NA,NA,0.934558708,2,54-112,18,1,18,0,6,10,2011,4-128
NA,NA,NA,NA,NA,NA,NA,NA,1.12985254,2,54-112,18,1,19,0,6,12,2012,4-128
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,54-112,18,1,20,0,6,17,2013,4-128
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,54-112,18,1,21,0,6,12,2014,4-128
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,52-112,16,8,1,1,6,18,1994,13-Apr
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,52-112,16,8,2,0,6,30,1995,13-Apr
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,52-112,16,8,3,0,6,29,1996,13-Apr
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52-112,16,8,4,0,6,28,1997,13-Apr
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52-112,16,8,5,0,6,22,1998,13-Apr
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,52-112,16,8,6,0,6,24,1999,13-Apr
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52-112,16,8,7,0,6,26,2000,13-Apr
NA,NA,NA,NA,NA,NA,NA,NA,NA,8,52-112,16,9,14,1,6,16,2007,13-Apr
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,52-112,16,9,15,0,6,15,2008,13-Apr
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,52-112,16,9,16,0,6,14,2009,13-Apr
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,52-112,16,9,17,0,6,22,2010,13-Apr
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,52-112,16,9,18,0,7,6,2011,13-Apr
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,52-112,16,9,19,0,6,30,2012,13-Apr
