"","grid2","grid1","dist","pairid","dcat"
"11193","38_97","39_90",616,"38_97.39_90","501-700"
"11194","38_96","39_90",531,"38_96.39_90","501-700"
"11195","38_95","39_90",447,"38_95.39_90","301-500"
"11196","38_94","39_90",364,"38_94.39_90","301-500"
"11197","38_93","39_90",283,"38_93.39_90","100-300"
"11198","38_92","39_90",206,"38_92.39_90","100-300"
"11199","38_89","39_90",141,"38_89.39_90","100-300"
"11200","38_88","39_90",206,"38_88.39_90","100-300"
"11201","38_87","39_90",283,"38_87.39_90","100-300"
"11202","38_86","39_90",364,"38_86.39_90","301-500"
"11203","38_85","39_90",447,"38_85.39_90","301-500"
"11204","38_83","39_90",616,"38_83.39_90","501-700"
"11205","38_79","39_90",959,"38_79.39_90","901-1100"
"11206","38_78","39_90",1045,"38_78.39_90","901-1100"
"11207","38_77","39_90",1131,"38_77.39_90","1101-1300"
"11208","38_76","39_90",1217,"38_76.39_90","1101-1300"
"11209","38_75","39_90",1303,"38_75.39_90","1301-1500"
"11210","37_102","39_90",1069,"37_102.39_90","901-1100"
"11211","37_101","39_90",984,"37_101.39_90","901-1100"
"11212","37_100","39_90",900,"37_100.39_90","701-900"
"11213","37_99","39_90",815,"37_99.39_90","701-900"
"11214","37_98","39_90",732,"37_98.39_90","701-900"
"11215","37_93","39_90",343,"37_93.39_90","301-500"
"11216","37_89","39_90",239,"37_89.39_90","100-300"
"11217","37_88","39_90",282,"37_88.39_90","100-300"
"11218","37_87","39_90",343,"37_87.39_90","301-500"
"11219","37_85","39_90",489,"37_85.39_90","301-500"
"11220","37_79","39_90",984,"37_79.39_90","901-1100"
"11221","37_78","39_90",1069,"37_78.39_90","901-1100"
"11222","37_76","39_90",1240,"37_76.39_90","1101-1300"
"11223","36_101","39_90",1021,"36_101.39_90","901-1100"
"11224","36_100","39_90",939,"36_100.39_90","901-1100"
"11225","36_97","39_90",699,"36_97.39_90","501-700"
"11226","36_96","39_90",623,"36_96.39_90","501-700"
"11227","36_95","39_90",551,"36_95.39_90","501-700"
"11228","36_82","39_90",777,"36_82.39_90","701-900"
"11229","35_102","39_90",1149,"35_102.39_90","1101-1300"
"11230","35_101","39_90",1068,"35_101.39_90","901-1100"
"11231","35_99","39_90",911,"35_99.39_90","901-1100"
"11232","35_79","39_90",1068,"35_79.39_90","901-1100"
"11233","34_101","39_90",1124,"34_101.39_90","1101-1300"
"11234","34_82","39_90",902,"34_82.39_90","901-1100"
"11235","50_110","39_89",2046,"50_110.39_89",">1500"
"11236","49_107","39_89",1804,"49_107.39_89",">1500"
"11237","48_103","39_89",1499,"48_103.39_89","1301-1500"
"11238","48_102","39_89",1441,"48_102.39_89","1301-1500"
"11239","48_101","39_89",1385,"48_101.39_89","1301-1500"
"11240","48_100","39_89",1331,"48_100.39_89","1301-1500"
"11241","47_108","39_89",1768,"47_108.39_89",">1500"
"11242","47_103","39_89",1436,"47_103.39_89","1301-1500"
"11243","47_102","39_89",1374,"47_102.39_89","1301-1500"
"11244","47_101","39_89",1313,"47_101.39_89","1301-1500"
"11245","47_100","39_89",1255,"47_100.39_89","1101-1300"
"11246","47_99","39_89",1200,"47_99.39_89","1101-1300"
"11247","47_98","39_89",1147,"47_98.39_89","1101-1300"
"11248","46_103","39_89",1378,"46_103.39_89","1301-1500"
"11249","46_102","39_89",1312,"46_102.39_89","1301-1500"
"11250","46_101","39_89",1247,"46_101.39_89","1101-1300"
"11251","46_100","39_89",1185,"46_100.39_89","1101-1300"
"11252","46_99","39_89",1125,"46_99.39_89","1101-1300"
"11253","45_105","39_89",1471,"45_105.39_89","1301-1500"
"11254","45_104","39_89",1398,"45_104.39_89","1301-1500"
"11255","45_103","39_89",1327,"45_103.39_89","1301-1500"
"11256","45_102","39_89",1257,"45_102.39_89","1101-1300"
"11257","45_101","39_89",1188,"45_101.39_89","1101-1300"
"11258","45_100","39_89",1122,"45_100.39_89","1101-1300"
"11259","45_99","39_89",1057,"45_99.39_89","901-1100"
"11260","45_98","39_89",995,"45_98.39_89","901-1100"
"11261","44_102","39_89",1210,"44_102.39_89","1101-1300"
"11262","44_101","39_89",1137,"44_101.39_89","1101-1300"
"11263","44_100","39_89",1066,"44_100.39_89","901-1100"
"11264","44_99","39_89",996,"44_99.39_89","901-1100"
"11265","44_98","39_89",929,"44_98.39_89","901-1100"
"11266","44_97","39_89",864,"44_97.39_89","701-900"
"11267","44_89","39_89",555,"44_89.39_89","501-700"
"11268","43_102","39_89",1171,"43_102.39_89","1101-1300"
"11269","43_100","39_89",1019,"43_100.39_89","901-1100"
"11270","43_99","39_89",945,"43_99.39_89","901-1100"
"11271","43_97","39_89",802,"43_97.39_89","701-900"
"11272","43_89","39_89",444,"43_89.39_89","301-500"
"11273","42_103","39_89",1222,"42_103.39_89","1101-1300"
"11274","42_102","39_89",1142,"42_102.39_89","1101-1300"
"11275","42_101","39_89",1062,"42_101.39_89","901-1100"
"11276","42_99","39_89",904,"42_99.39_89","901-1100"
"11277","42_98","39_89",827,"42_98.39_89","701-900"
"11278","42_95","39_89",605,"42_95.39_89","501-700"
"11279","42_90","39_89",344,"42_90.39_89","301-500"
"11280","42_89","39_89",333,"42_89.39_89","301-500"
"11281","41_103","39_89",1206,"41_103.39_89","1101-1300"
"11282","41_102","39_89",1123,"41_102.39_89","1101-1300"
"11283","41_101","39_89",1040,"41_101.39_89","901-1100"
"11284","41_100","39_89",958,"41_100.39_89","901-1100"
"11285","41_92","39_89",338,"41_92.39_89","301-500"
"11286","41_90","39_89",238,"41_90.39_89","100-300"
"11287","41_76","39_89",1123,"41_76.39_89","1101-1300"
"11288","40_103","39_89",1199,"40_103.39_89","1101-1300"
"11289","40_102","39_89",1115,"40_102.39_89","1101-1300"
"11290","40_101","39_89",1030,"40_101.39_89","901-1100"
"11291","40_99","39_89",861,"40_99.39_89","701-900"
"11292","40_96","39_89",608,"40_96.39_89","501-700"
"11293","40_94","39_89",441,"40_94.39_89","301-500"
"11294","40_92","39_89",279,"40_92.39_89","100-300"
"11295","40_91","39_89",204,"40_91.39_89","100-300"
"11296","40_90","39_89",140,"40_90.39_89","100-300"
"11297","40_89","39_89",111,"40_89.39_89","100-300"
"11298","40_84","39_89",441,"40_84.39_89","301-500"
"11299","40_83","39_89",524,"40_83.39_89","501-700"
"11300","40_79","39_89",861,"40_79.39_89","701-900"
"11301","40_77","39_89",1030,"40_77.39_89","901-1100"
"11302","40_76","39_89",1115,"40_76.39_89","1101-1300"
"11303","40_75","39_89",1199,"40_75.39_89","1101-1300"
"11304","39_103","39_89",1203,"39_103.39_89","1101-1300"
"11305","39_102","39_89",1117,"39_102.39_89","1101-1300"
"11306","39_101","39_89",1031,"39_101.39_89","901-1100"
"11307","39_100","39_89",946,"39_100.39_89","901-1100"
"11308","39_99","39_89",860,"39_99.39_89","701-900"
"11309","39_98","39_89",774,"39_98.39_89","701-900"
"11310","39_97","39_89",688,"39_97.39_89","501-700"
"11311","39_96","39_89",602,"39_96.39_89","501-700"
"11312","39_94","39_89",430,"39_94.39_89","301-500"
"11313","39_93","39_89",344,"39_93.39_89","301-500"
"11314","39_92","39_89",258,"39_92.39_89","100-300"
"11315","39_91","39_89",172,"39_91.39_89","100-300"
"11316","39_90","39_89",86,"39_90.39_89","<100"
"11317","39_88","39_89",86,"39_88.39_89","<100"
"11318","39_83","39_89",516,"39_83.39_89","501-700"
"11319","39_79","39_89",860,"39_79.39_89","701-900"
"11320","39_78","39_89",946,"39_78.39_89","901-1100"
"11321","39_77","39_89",1031,"39_77.39_89","901-1100"
"11322","39_76","39_89",1117,"39_76.39_89","1101-1300"
"11323","39_75","39_89",1203,"39_75.39_89","1101-1300"
"11324","38_103","39_89",1217,"38_103.39_89","1101-1300"
"11325","38_102","39_89",1131,"38_102.39_89","1101-1300"
"11326","38_101","39_89",1045,"38_101.39_89","901-1100"
"11327","38_100","39_89",959,"38_100.39_89","901-1100"
"11328","38_99","39_89",873,"38_99.39_89","701-900"
"11329","38_98","39_89",787,"38_98.39_89","701-900"
"11330","38_97","39_89",702,"38_97.39_89","701-900"
"11331","38_96","39_89",616,"38_96.39_89","501-700"
"11332","38_95","39_89",531,"38_95.39_89","501-700"
"11333","38_94","39_89",447,"38_94.39_89","301-500"
"11334","38_93","39_89",364,"38_93.39_89","301-500"
"11335","38_92","39_89",283,"38_92.39_89","100-300"
"11336","38_89","39_89",111,"38_89.39_89","100-300"
"11337","38_88","39_89",141,"38_88.39_89","100-300"
"11338","38_87","39_89",206,"38_87.39_89","100-300"
"11339","38_86","39_89",283,"38_86.39_89","100-300"
"11340","38_85","39_89",364,"38_85.39_89","301-500"
"11341","38_83","39_89",531,"38_83.39_89","501-700"
"11342","38_79","39_89",873,"38_79.39_89","701-900"
"11343","38_78","39_89",959,"38_78.39_89","901-1100"
"11344","38_77","39_89",1045,"38_77.39_89","901-1100"
"11345","38_76","39_89",1131,"38_76.39_89","1101-1300"
"11346","38_75","39_89",1217,"38_75.39_89","1101-1300"
"11347","37_102","39_89",1154,"37_102.39_89","1101-1300"
"11348","37_101","39_89",1069,"37_101.39_89","901-1100"
"11349","37_100","39_89",984,"37_100.39_89","901-1100"
"11350","37_99","39_89",900,"37_99.39_89","701-900"
"11351","37_98","39_89",815,"37_98.39_89","701-900"
"11352","37_93","39_89",414,"37_93.39_89","301-500"
"11353","37_89","39_89",222,"37_89.39_89","100-300"
"11354","37_88","39_89",239,"37_88.39_89","100-300"
"11355","37_87","39_89",282,"37_87.39_89","100-300"
"11356","37_85","39_89",414,"37_85.39_89","301-500"
"11357","37_79","39_89",900,"37_79.39_89","701-900"
"11358","37_78","39_89",984,"37_78.39_89","901-1100"
"11359","37_76","39_89",1154,"37_76.39_89","1101-1300"
"11360","36_101","39_89",1104,"36_101.39_89","1101-1300"
"11361","36_100","39_89",1021,"36_100.39_89","901-1100"
"11362","36_97","39_89",777,"36_97.39_89","701-900"
"11363","36_96","39_89",699,"36_96.39_89","501-700"
"11364","36_95","39_89",623,"36_95.39_89","501-700"
"11365","36_82","39_89",699,"36_82.39_89","501-700"
"11366","35_102","39_89",1231,"35_102.39_89","1101-1300"
"11367","35_101","39_89",1149,"35_101.39_89","1101-1300"
"11368","35_99","39_89",989,"35_99.39_89","901-1100"
"11369","35_79","39_89",989,"35_79.39_89","901-1100"
"11370","34_101","39_89",1202,"34_101.39_89","1101-1300"
"11371","34_82","39_89",834,"34_82.39_89","701-900"
"11372","50_110","39_88",2109,"50_110.39_88",">1500"
"11373","49_107","39_88",1867,"49_107.39_88",">1500"
"11374","48_103","39_88",1560,"48_103.39_88",">1500"
"11375","48_102","39_88",1499,"48_102.39_88","1301-1500"
"11376","48_101","39_88",1441,"48_101.39_88","1301-1500"
"11377","48_100","39_88",1385,"48_100.39_88","1301-1500"
"11378","47_108","39_88",1838,"47_108.39_88",">1500"
"11379","47_103","39_88",1500,"47_103.39_88","1301-1500"
"11380","47_102","39_88",1436,"47_102.39_88","1301-1500"
"11381","47_101","39_88",1374,"47_101.39_88","1301-1500"
"11382","47_100","39_88",1313,"47_100.39_88","1301-1500"
"11383","47_99","39_88",1255,"47_99.39_88","1101-1300"
"11384","47_98","39_88",1200,"47_98.39_88","1101-1300"
"11385","46_103","39_88",1446,"46_103.39_88","1301-1500"
"11386","46_102","39_88",1378,"46_102.39_88","1301-1500"
"11387","46_101","39_88",1312,"46_101.39_88","1301-1500"
"11388","46_100","39_88",1247,"46_100.39_88","1101-1300"
"11389","46_99","39_88",1185,"46_99.39_88","1101-1300"
"11390","45_105","39_88",1544,"45_105.39_88",">1500"
"11391","45_104","39_88",1471,"45_104.39_88","1301-1500"
"11392","45_103","39_88",1398,"45_103.39_88","1301-1500"
"11393","45_102","39_88",1327,"45_102.39_88","1301-1500"
"11394","45_101","39_88",1257,"45_101.39_88","1101-1300"
"11395","45_100","39_88",1188,"45_100.39_88","1101-1300"
"11396","45_99","39_88",1122,"45_99.39_88","1101-1300"
"11397","45_98","39_88",1057,"45_98.39_88","901-1100"
"11398","44_102","39_88",1284,"44_102.39_88","1101-1300"
"11399","44_101","39_88",1210,"44_101.39_88","1101-1300"
"11400","44_100","39_88",1137,"44_100.39_88","1101-1300"
"11401","44_99","39_88",1066,"44_99.39_88","901-1100"
"11402","44_98","39_88",996,"44_98.39_88","901-1100"
"11403","44_97","39_88",929,"44_97.39_88","901-1100"
"11404","44_89","39_88",561,"44_89.39_88","501-700"
"11405","43_102","39_88",1249,"43_102.39_88","1101-1300"
"11406","43_100","39_88",1095,"43_100.39_88","901-1100"
"11407","43_99","39_88",1019,"43_99.39_88","901-1100"
"11408","43_97","39_88",872,"43_97.39_88","701-900"
"11409","43_89","39_88",452,"43_89.39_88","301-500"
"11410","42_103","39_88",1303,"42_103.39_88","1301-1500"
"11411","42_102","39_88",1222,"42_102.39_88","1101-1300"
"11412","42_101","39_88",1142,"42_101.39_88","1101-1300"
"11413","42_99","39_88",983,"42_99.39_88","901-1100"
"11414","42_98","39_88",904,"42_98.39_88","901-1100"
"11415","42_95","39_88",676,"42_95.39_88","501-700"
"11416","42_90","39_88",373,"42_90.39_88","301-500"
"11417","42_89","39_88",344,"42_89.39_88","301-500"
"11418","41_103","39_88",1289,"41_103.39_88","1101-1300"
"11419","41_102","39_88",1206,"41_102.39_88","1101-1300"
"11420","41_101","39_88",1123,"41_101.39_88","1101-1300"
"11421","41_100","39_88",1040,"41_100.39_88","901-1100"
"11422","41_92","39_88",405,"41_92.39_88","301-500"
"11423","41_90","39_88",279,"41_90.39_88","100-300"
"11424","41_76","39_88",1040,"41_76.39_88","901-1100"
"11425","40_103","39_88",1284,"40_103.39_88","1101-1300"
"11426","40_102","39_88",1199,"40_102.39_88","1101-1300"
"11427","40_101","39_88",1115,"40_101.39_88","1101-1300"
"11428","40_99","39_88",945,"40_99.39_88","901-1100"
"11429","40_96","39_88",692,"40_96.39_88","501-700"
"11430","40_94","39_88",524,"40_94.39_88","501-700"
"11431","40_92","39_88",359,"40_92.39_88","301-500"
"11432","40_91","39_88",279,"40_91.39_88","100-300"
"11433","40_90","39_88",204,"40_90.39_88","100-300"
"11434","40_89","39_88",140,"40_89.39_88","100-300"
"11435","40_84","39_88",359,"40_84.39_88","301-500"
"11436","40_83","39_88",441,"40_83.39_88","301-500"
"11437","40_79","39_88",776,"40_79.39_88","701-900"
"11438","40_77","39_88",945,"40_77.39_88","901-1100"
"11439","40_76","39_88",1030,"40_76.39_88","901-1100"
"11440","40_75","39_88",1115,"40_75.39_88","1101-1300"
"11441","39_103","39_88",1289,"39_103.39_88","1101-1300"
"11442","39_102","39_88",1203,"39_102.39_88","1101-1300"
"11443","39_101","39_88",1117,"39_101.39_88","1101-1300"
"11444","39_100","39_88",1031,"39_100.39_88","901-1100"
"11445","39_99","39_88",946,"39_99.39_88","901-1100"
"11446","39_98","39_88",860,"39_98.39_88","701-900"
"11447","39_97","39_88",774,"39_97.39_88","701-900"
"11448","39_96","39_88",688,"39_96.39_88","501-700"
"11449","39_94","39_88",516,"39_94.39_88","501-700"
"11450","39_93","39_88",430,"39_93.39_88","301-500"
"11451","39_92","39_88",344,"39_92.39_88","301-500"
"11452","39_91","39_88",258,"39_91.39_88","100-300"
"11453","39_90","39_88",172,"39_90.39_88","100-300"
"11454","39_89","39_88",86,"39_89.39_88","<100"
"11455","39_83","39_88",430,"39_83.39_88","301-500"
"11456","39_79","39_88",774,"39_79.39_88","701-900"
"11457","39_78","39_88",860,"39_78.39_88","701-900"
"11458","39_77","39_88",946,"39_77.39_88","901-1100"
"11459","39_76","39_88",1031,"39_76.39_88","901-1100"
"11460","39_75","39_88",1117,"39_75.39_88","1101-1300"
"11461","38_103","39_88",1303,"38_103.39_88","1301-1500"
"11462","38_102","39_88",1217,"38_102.39_88","1101-1300"
"11463","38_101","39_88",1131,"38_101.39_88","1101-1300"
"11464","38_100","39_88",1045,"38_100.39_88","901-1100"
"11465","38_99","39_88",959,"38_99.39_88","901-1100"
"11466","38_98","39_88",873,"38_98.39_88","701-900"
"11467","38_97","39_88",787,"38_97.39_88","701-900"
"11468","38_96","39_88",702,"38_96.39_88","701-900"
"11469","38_95","39_88",616,"38_95.39_88","501-700"
"11470","38_94","39_88",531,"38_94.39_88","501-700"
"11471","38_93","39_88",447,"38_93.39_88","301-500"
"11472","38_92","39_88",364,"38_92.39_88","301-500"
"11473","38_89","39_88",141,"38_89.39_88","100-300"
"11474","38_88","39_88",111,"38_88.39_88","100-300"
"11475","38_87","39_88",141,"38_87.39_88","100-300"
"11476","38_86","39_88",206,"38_86.39_88","100-300"
"11477","38_85","39_88",283,"38_85.39_88","100-300"
"11478","38_83","39_88",447,"38_83.39_88","301-500"
"11479","38_79","39_88",787,"38_79.39_88","701-900"
"11480","38_78","39_88",873,"38_78.39_88","701-900"
"11481","38_77","39_88",959,"38_77.39_88","901-1100"
"11482","38_76","39_88",1045,"38_76.39_88","901-1100"
"11483","38_75","39_88",1131,"38_75.39_88","1101-1300"
"11484","37_102","39_88",1240,"37_102.39_88","1101-1300"
"11485","37_101","39_88",1154,"37_101.39_88","1101-1300"
"11486","37_100","39_88",1069,"37_100.39_88","901-1100"
"11487","37_99","39_88",984,"37_99.39_88","901-1100"
"11488","37_98","39_88",900,"37_98.39_88","701-900"
"11489","37_93","39_88",489,"37_93.39_88","301-500"
"11490","37_89","39_88",239,"37_89.39_88","100-300"
"11491","37_88","39_88",222,"37_88.39_88","100-300"
"11492","37_87","39_88",239,"37_87.39_88","100-300"
"11493","37_85","39_88",343,"37_85.39_88","301-500"
"11494","37_79","39_88",815,"37_79.39_88","701-900"
"11495","37_78","39_88",900,"37_78.39_88","701-900"
"11496","37_76","39_88",1069,"37_76.39_88","901-1100"
"11497","36_101","39_88",1188,"36_101.39_88","1101-1300"
"11498","36_100","39_88",1104,"36_100.39_88","1101-1300"
"11499","36_97","39_88",857,"36_97.39_88","701-900"
"11500","36_96","39_88",777,"36_96.39_88","701-900"
"11501","36_95","39_88",699,"36_95.39_88","501-700"
"11502","36_82","39_88",623,"36_82.39_88","501-700"
"11503","35_102","39_88",1313,"35_102.39_88","1301-1500"
"11504","35_101","39_88",1231,"35_101.39_88","1101-1300"
"11505","35_99","39_88",1068,"35_99.39_88","901-1100"
"11506","35_79","39_88",911,"35_79.39_88","901-1100"
"11507","34_101","39_88",1282,"34_101.39_88","1101-1300"
"11508","34_82","39_88",770,"34_82.39_88","701-900"
"11509","50_110","39_83",2435,"50_110.39_83",">1500"
"11510","49_107","39_83",2194,"49_107.39_83",">1500"
"11511","48_103","39_83",1882,"48_103.39_83",">1500"
"11512","48_102","39_83",1815,"48_102.39_83",">1500"
"11513","48_101","39_83",1749,"48_101.39_83",">1500"
"11514","48_100","39_83",1685,"48_100.39_83",">1500"
"11515","47_108","39_83",2196,"47_108.39_83",">1500"
"11516","47_103","39_83",1838,"47_103.39_83",">1500"
"11517","47_102","39_83",1768,"47_102.39_83",">1500"
"11518","47_101","39_83",1699,"47_101.39_83",">1500"
"11519","47_100","39_83",1632,"47_100.39_83",">1500"
"11520","47_99","39_83",1565,"47_99.39_83",">1500"
"11521","47_98","39_83",1500,"47_98.39_83","1301-1500"
"11522","46_103","39_83",1800,"46_103.39_83",">1500"
"11523","46_102","39_83",1727,"46_102.39_83",">1500"
"11524","46_101","39_83",1656,"46_101.39_83",">1500"
"11525","46_100","39_83",1585,"46_100.39_83",">1500"
"11526","46_99","39_83",1515,"46_99.39_83",">1500"
"11527","45_105","39_83",1920,"45_105.39_83",">1500"
"11528","45_104","39_83",1844,"45_104.39_83",">1500"
"11529","45_103","39_83",1768,"45_103.39_83",">1500"
"11530","45_102","39_83",1693,"45_102.39_83",">1500"
"11531","45_101","39_83",1618,"45_101.39_83",">1500"
"11532","45_100","39_83",1544,"45_100.39_83",">1500"
"11533","45_99","39_83",1471,"45_99.39_83","1301-1500"
"11534","45_98","39_83",1398,"45_98.39_83","1301-1500"
"11535","44_102","39_83",1665,"44_102.39_83",">1500"
"11536","44_101","39_83",1587,"44_101.39_83",">1500"
"11537","44_100","39_83",1510,"44_100.39_83",">1500"
"11538","44_99","39_83",1434,"44_99.39_83","1301-1500"
"11539","44_98","39_83",1359,"44_98.39_83","1301-1500"
"11540","44_97","39_83",1284,"44_97.39_83","1101-1300"
"11541","44_89","39_83",745,"44_89.39_83","701-900"
"11542","43_102","39_83",1643,"43_102.39_83",">1500"
"11543","43_100","39_83",1484,"43_100.39_83","1301-1500"
"11544","43_99","39_83",1405,"43_99.39_83","1301-1500"
"11545","43_97","39_83",1249,"43_97.39_83","1101-1300"
"11546","43_89","39_83",669,"43_89.39_83","501-700"
"11547","42_103","39_83",1711,"42_103.39_83",">1500"
"11548","42_102","39_83",1629,"42_102.39_83",">1500"
"11549","42_101","39_83",1547,"42_101.39_83",">1500"
"11550","42_99","39_83",1384,"42_99.39_83","1301-1500"
"11551","42_98","39_83",1303,"42_98.39_83","1301-1500"
"11552","42_95","39_83",1062,"42_95.39_83","901-1100"
"11553","42_90","39_83",676,"42_90.39_83","501-700"
"11554","42_89","39_83",605,"42_89.39_83","501-700"
"11555","41_103","39_83",1706,"41_103.39_83",">1500"
"11556","41_102","39_83",1622,"41_102.39_83",">1500"
"11557","41_101","39_83",1539,"41_101.39_83",">1500"
"11558","41_100","39_83",1456,"41_100.39_83","1301-1500"
"11559","41_92","39_83",794,"41_92.39_83","701-900"
"11560","41_90","39_83",633,"41_90.39_83","501-700"
"11561","41_76","39_83",633,"41_76.39_83","501-700"
"11562","40_103","39_83",1708,"40_103.39_83",">1500"
"11563","40_102","39_83",1623,"40_102.39_83",">1500"
"11564","40_101","39_83",1538,"40_101.39_83",">1500"
"11565","40_99","39_83",1369,"40_99.39_83","1301-1500"
"11566","40_96","39_83",1115,"40_96.39_83","1101-1300"
"11567","40_94","39_83",945,"40_94.39_83","901-1100"
"11568","40_92","39_83",776,"40_92.39_83","701-900"
"11569","40_91","39_83",692,"40_91.39_83","501-700"
"11570","40_90","39_83",608,"40_90.39_83","501-700"
"11571","40_89","39_83",524,"40_89.39_83","501-700"
"11572","40_84","39_83",140,"40_84.39_83","100-300"
"11573","40_83","39_83",111,"40_83.39_83","100-300"
"11574","40_79","39_83",359,"40_79.39_83","301-500"
"11575","40_77","39_83",524,"40_77.39_83","501-700"
"11576","40_76","39_83",608,"40_76.39_83","501-700"
"11577","40_75","39_83",692,"40_75.39_83","501-700"
"11578","39_103","39_83",1717,"39_103.39_83",">1500"
"11579","39_102","39_83",1631,"39_102.39_83",">1500"
"11580","39_101","39_83",1546,"39_101.39_83",">1500"
"11581","39_100","39_83",1460,"39_100.39_83","1301-1500"
"11582","39_99","39_83",1374,"39_99.39_83","1301-1500"
"11583","39_98","39_83",1289,"39_98.39_83","1101-1300"
"11584","39_97","39_83",1203,"39_97.39_83","1101-1300"
"11585","39_96","39_83",1117,"39_96.39_83","1101-1300"
"11586","39_94","39_83",946,"39_94.39_83","901-1100"
"11587","39_93","39_83",860,"39_93.39_83","701-900"
"11588","39_92","39_83",774,"39_92.39_83","701-900"
"11589","39_91","39_83",688,"39_91.39_83","501-700"
"11590","39_90","39_83",602,"39_90.39_83","501-700"
"11591","39_89","39_83",516,"39_89.39_83","501-700"
"11592","39_88","39_83",430,"39_88.39_83","301-500"
"11593","39_79","39_83",344,"39_79.39_83","301-500"
"11594","39_78","39_83",430,"39_78.39_83","301-500"
"11595","39_77","39_83",516,"39_77.39_83","501-700"
"11596","39_76","39_83",602,"39_76.39_83","501-700"
"11597","39_75","39_83",688,"39_75.39_83","501-700"
"11598","38_103","39_83",1733,"38_103.39_83",">1500"
"11599","38_102","39_83",1647,"38_102.39_83",">1500"
"11600","38_101","39_83",1561,"38_101.39_83",">1500"
"11601","38_100","39_83",1475,"38_100.39_83","1301-1500"
"11602","38_99","39_83",1389,"38_99.39_83","1301-1500"
"11603","38_98","39_83",1303,"38_98.39_83","1301-1500"
"11604","38_97","39_83",1217,"38_97.39_83","1101-1300"
"11605","38_96","39_83",1131,"38_96.39_83","1101-1300"
"11606","38_95","39_83",1045,"38_95.39_83","901-1100"
"11607","38_94","39_83",959,"38_94.39_83","901-1100"
"11608","38_93","39_83",873,"38_93.39_83","701-900"
"11609","38_92","39_83",787,"38_92.39_83","701-900"
"11610","38_89","39_83",531,"38_89.39_83","501-700"
"11611","38_88","39_83",447,"38_88.39_83","301-500"
"11612","38_87","39_83",364,"38_87.39_83","301-500"
"11613","38_86","39_83",283,"38_86.39_83","100-300"
"11614","38_85","39_83",206,"38_85.39_83","100-300"
"11615","38_83","39_83",111,"38_83.39_83","100-300"
"11616","38_79","39_83",364,"38_79.39_83","301-500"
"11617","38_78","39_83",447,"38_78.39_83","301-500"
"11618","38_77","39_83",531,"38_77.39_83","501-700"
"11619","38_76","39_83",616,"38_76.39_83","501-700"
"11620","38_75","39_83",702,"38_75.39_83","701-900"
"11621","37_102","39_83",1669,"37_102.39_83",">1500"
"11622","37_101","39_83",1583,"37_101.39_83",">1500"
"11623","37_100","39_83",1497,"37_100.39_83","1301-1500"
"11624","37_99","39_83",1411,"37_99.39_83","1301-1500"
"11625","37_98","39_83",1326,"37_98.39_83","1301-1500"
"11626","37_93","39_83",900,"37_93.39_83","701-900"
"11627","37_89","39_83",568,"37_89.39_83","501-700"
"11628","37_88","39_83",489,"37_88.39_83","301-500"
"11629","37_87","39_83",414,"37_87.39_83","301-500"
"11630","37_85","39_83",282,"37_85.39_83","100-300"
"11631","37_79","39_83",414,"37_79.39_83","301-500"
"11632","37_78","39_83",489,"37_78.39_83","301-500"
"11633","37_76","39_83",650,"37_76.39_83","501-700"
"11634","36_101","39_83",1613,"36_101.39_83",">1500"
"11635","36_100","39_83",1527,"36_100.39_83",">1500"
"11636","36_97","39_83",1272,"36_97.39_83","1101-1300"
"11637","36_96","39_83",1188,"36_96.39_83","1101-1300"
"11638","36_95","39_83",1104,"36_95.39_83","1101-1300"
"11639","36_82","39_83",344,"36_82.39_83","301-500"
"11640","35_102","39_83",1734,"35_102.39_83",">1500"
"11641","35_101","39_83",1649,"35_101.39_83",">1500"
"11642","35_99","39_83",1480,"35_99.39_83","1301-1500"
"11643","35_79","39_83",567,"35_79.39_83","501-700"
"11644","34_101","39_83",1692,"34_101.39_83",">1500"
"11645","34_82","39_83",562,"34_82.39_83","501-700"
"11646","50_110","39_79",2706,"50_110.39_79",">1500"
"11647","49_107","39_79",2469,"49_107.39_79",">1500"
"11648","48_103","39_79",2156,"48_103.39_79",">1500"
"11649","48_102","39_79",2087,"48_102.39_79",">1500"
"11650","48_101","39_79",2018,"48_101.39_79",">1500"
"11651","48_100","39_79",1949,"48_100.39_79",">1500"
"11652","47_108","39_79",2490,"47_108.39_79",">1500"
"11653","47_103","39_79",2123,"47_103.39_79",">1500"
"11654","47_102","39_79",2051,"47_102.39_79",">1500"
"11655","47_101","39_79",1979,"47_101.39_79",">1500"
"11656","47_100","39_79",1908,"47_100.39_79",">1500"
"11657","47_99","39_79",1838,"47_99.39_79",">1500"
"11658","47_98","39_79",1768,"47_98.39_79",">1500"
"11659","46_103","39_79",2095,"46_103.39_79",">1500"
"11660","46_102","39_79",2021,"46_102.39_79",">1500"
"11661","46_101","39_79",1947,"46_101.39_79",">1500"
"11662","46_100","39_79",1873,"46_100.39_79",">1500"
"11663","46_99","39_79",1800,"46_99.39_79",">1500"
"11664","45_105","39_79",2227,"45_105.39_79",">1500"
"11665","45_104","39_79",2150,"45_104.39_79",">1500"
"11666","45_103","39_79",2073,"45_103.39_79",">1500"
"11667","45_102","39_79",1996,"45_102.39_79",">1500"
"11668","45_101","39_79",1920,"45_101.39_79",">1500"
"11669","45_100","39_79",1844,"45_100.39_79",">1500"
"11670","45_99","39_79",1768,"45_99.39_79",">1500"
