"","grid2","grid1","dist","pairid","dcat"
"154","46_99","49_107",683,"46_99.49_107","501-700"
"155","45_105","49_107",470,"45_105.49_107","301-500"
"156","45_104","49_107",499,"45_104.49_107","301-500"
"157","45_103","49_107",537,"45_103.49_107","501-700"
"158","45_102","49_107",583,"45_102.49_107","501-700"
"159","45_101","49_107",634,"45_101.49_107","501-700"
"160","45_100","49_107",689,"45_100.49_107","501-700"
"161","45_99","49_107",748,"45_99.49_107","701-900"
"162","45_98","49_107",810,"45_98.49_107","701-900"
"163","44_102","49_107",673,"44_102.49_107","501-700"
"164","44_101","49_107",719,"44_101.49_107","701-900"
"165","44_100","49_107",769,"44_100.49_107","701-900"
"166","44_99","49_107",823,"44_99.49_107","701-900"
"167","44_98","49_107",881,"44_98.49_107","701-900"
"168","44_97","49_107",941,"44_97.49_107","901-1100"
"169","44_89","49_107",1473,"44_89.49_107","1301-1500"
"170","43_102","49_107",769,"43_102.49_107","701-900"
"171","43_100","49_107",856,"43_100.49_107","701-900"
"172","43_99","49_107",906,"43_99.49_107","901-1100"
"173","43_97","49_107",1015,"43_97.49_107","901-1100"
"174","43_89","49_107",1529,"43_89.49_107",">1500"
"175","42_103","49_107",837,"42_103.49_107","701-900"
"176","42_102","49_107",869,"42_102.49_107","701-900"
"177","42_101","49_107",906,"42_101.49_107","901-1100"
"178","42_99","49_107",994,"42_99.49_107","901-1100"
"179","42_98","49_107",1043,"42_98.49_107","901-1100"
"180","42_95","49_107",1210,"42_95.49_107","1101-1300"
"181","42_90","49_107",1524,"42_90.49_107",">1500"
"182","42_89","49_107",1591,"42_89.49_107",">1500"
"183","41_103","49_107",942,"41_103.49_107","901-1100"
"184","41_102","49_107",971,"41_102.49_107","901-1100"
"185","41_101","49_107",1004,"41_101.49_107","901-1100"
"186","41_100","49_107",1043,"41_100.49_107","901-1100"
"187","41_92","49_107",1467,"41_92.49_107","1301-1500"
"188","41_90","49_107",1593,"41_90.49_107",">1500"
"189","41_76","49_107",2559,"41_76.49_107",">1500"
"190","40_103","49_107",1048,"40_103.49_107","901-1100"
"191","40_102","49_107",1074,"40_102.49_107","901-1100"
"192","40_101","49_107",1106,"40_101.49_107","1101-1300"
"193","40_99","49_107",1181,"40_99.49_107","1101-1300"
"194","40_96","49_107",1321,"40_96.49_107","1301-1500"
"195","40_94","49_107",1428,"40_94.49_107","1301-1500"
"196","40_92","49_107",1544,"40_92.49_107",">1500"
"197","40_91","49_107",1604,"40_91.49_107",">1500"
"198","40_90","49_107",1666,"40_90.49_107",">1500"
"199","40_89","49_107",1729,"40_89.49_107",">1500"
"200","40_84","49_107",2059,"40_84.49_107",">1500"
"201","40_83","49_107",2127,"40_83.49_107",">1500"
"202","40_79","49_107",2405,"40_79.49_107",">1500"
"203","40_77","49_107",2547,"40_77.49_107",">1500"
"204","40_76","49_107",2618,"40_76.49_107",">1500"
"205","40_75","49_107",2689,"40_75.49_107",">1500"
"206","39_103","49_107",1155,"39_103.49_107","1101-1300"
"207","39_102","49_107",1180,"39_102.49_107","1101-1300"
"208","39_101","49_107",1208,"39_101.49_107","1101-1300"
"209","39_100","49_107",1242,"39_100.49_107","1101-1300"
"210","39_99","49_107",1279,"39_99.49_107","1101-1300"
"211","39_98","49_107",1320,"39_98.49_107","1301-1500"
"212","39_97","49_107",1364,"39_97.49_107","1301-1500"
"213","39_96","49_107",1411,"39_96.49_107","1301-1500"
"214","39_94","49_107",1514,"39_94.49_107",">1500"
"215","39_93","49_107",1568,"39_93.49_107",">1500"
"216","39_92","49_107",1625,"39_92.49_107",">1500"
"217","39_91","49_107",1683,"39_91.49_107",">1500"
"218","39_90","49_107",1743,"39_90.49_107",">1500"
"219","39_89","49_107",1804,"39_89.49_107",">1500"
"220","39_88","49_107",1867,"39_88.49_107",">1500"
"221","39_83","49_107",2194,"39_83.49_107",">1500"
"222","39_79","49_107",2469,"39_79.49_107",">1500"
"223","39_78","49_107",2539,"39_78.49_107",">1500"
"224","39_77","49_107",2609,"39_77.49_107",">1500"
"225","39_76","49_107",2679,"39_76.49_107",">1500"
"226","39_75","49_107",2750,"39_75.49_107",">1500"
"227","38_103","49_107",1263,"38_103.49_107","1101-1300"
"228","38_102","49_107",1286,"38_102.49_107","1101-1300"
"229","38_101","49_107",1312,"38_101.49_107","1301-1500"
"230","38_100","49_107",1344,"38_100.49_107","1301-1500"
"231","38_99","49_107",1379,"38_99.49_107","1301-1500"
"232","38_98","49_107",1417,"38_98.49_107","1301-1500"
"233","38_97","49_107",1459,"38_97.49_107","1301-1500"
"234","38_96","49_107",1504,"38_96.49_107",">1500"
"235","38_95","49_107",1552,"38_95.49_107",">1500"
"236","38_94","49_107",1602,"38_94.49_107",">1500"
"237","38_93","49_107",1654,"38_93.49_107",">1500"
"238","38_92","49_107",1709,"38_92.49_107",">1500"
"239","38_89","49_107",1883,"38_89.49_107",">1500"
"240","38_88","49_107",1944,"38_88.49_107",">1500"
"241","38_87","49_107",2006,"38_87.49_107",">1500"
"242","38_86","49_107",2069,"38_86.49_107",">1500"
"243","38_85","49_107",2134,"38_85.49_107",">1500"
"244","38_83","49_107",2265,"38_83.49_107",">1500"
"245","38_79","49_107",2536,"38_79.49_107",">1500"
"246","38_78","49_107",2605,"38_78.49_107",">1500"
"247","38_77","49_107",2674,"38_77.49_107",">1500"
"248","38_76","49_107",2744,"38_76.49_107",">1500"
"249","38_75","49_107",2814,"38_75.49_107",">1500"
"250","37_102","49_107",1392,"37_102.49_107","1301-1500"
"251","37_101","49_107",1418,"37_101.49_107","1301-1500"
"252","37_100","49_107",1447,"37_100.49_107","1301-1500"
"253","37_99","49_107",1480,"37_99.49_107","1301-1500"
"254","37_98","49_107",1516,"37_98.49_107",">1500"
"255","37_93","49_107",1743,"37_93.49_107",">1500"
"256","37_89","49_107",1965,"37_89.49_107",">1500"
"257","37_88","49_107",2024,"37_88.49_107",">1500"
"258","37_87","49_107",2085,"37_87.49_107",">1500"
"259","37_85","49_107",2209,"37_85.49_107",">1500"
"260","37_79","49_107",2605,"37_79.49_107",">1500"
"261","37_78","49_107",2674,"37_78.49_107",">1500"
"262","37_76","49_107",2812,"37_76.49_107",">1500"
"263","36_101","49_107",1524,"36_101.49_107",">1500"
"264","36_100","49_107",1551,"36_100.49_107",">1500"
"265","36_97","49_107",1655,"36_97.49_107",">1500"
"266","36_96","49_107",1696,"36_96.49_107",">1500"
"267","36_95","49_107",1740,"36_95.49_107",">1500"
"268","36_82","49_107",2479,"36_82.49_107",">1500"
"269","35_102","49_107",1608,"35_102.49_107",">1500"
"270","35_101","49_107",1630,"35_101.49_107",">1500"
"271","35_99","49_107",1686,"35_99.49_107",">1500"
"272","35_79","49_107",2752,"35_79.49_107",">1500"
"273","34_101","49_107",1737,"34_101.49_107",">1500"
"274","34_82","49_107",2636,"34_82.49_107",">1500"
"275","50_110","48_103",553,"50_110.48_103","501-700"
"276","49_107","48_103",313,"49_107.48_103","301-500"
"277","48_102","48_103",74,"48_102.48_103","<100"
"278","48_101","48_103",148,"48_101.48_103","100-300"
"279","48_100","48_103",222,"48_100.48_103","100-300"
"280","47_108","48_103",389,"47_108.48_103","301-500"
"281","47_103","48_103",111,"47_103.48_103","100-300"
"282","47_102","48_103",134,"47_102.48_103","100-300"
"283","47_101","48_103",186,"47_101.48_103","100-300"
"284","47_100","48_103",250,"47_100.48_103","100-300"
"285","47_99","48_103",318,"47_99.48_103","301-500"
"286","47_98","48_103",389,"47_98.48_103","301-500"
"287","46_103","48_103",222,"46_103.48_103","100-300"
"288","46_102","48_103",235,"46_102.48_103","100-300"
"289","46_101","48_103",269,"46_101.48_103","100-300"
"290","46_100","48_103",317,"46_100.48_103","301-500"
"291","46_99","48_103",374,"46_99.48_103","301-500"
"292","45_105","48_103",367,"45_105.48_103","301-500"
"293","45_104","48_103",342,"45_104.48_103","301-500"
"294","45_103","48_103",334,"45_103.48_103","301-500"
"295","45_102","48_103",342,"45_102.48_103","301-500"
"296","45_101","48_103",367,"45_101.48_103","301-500"
"297","45_100","48_103",404,"45_100.48_103","301-500"
"298","45_99","48_103",451,"45_99.48_103","301-500"
"299","45_98","48_103",506,"45_98.48_103","501-700"
"300","44_102","48_103",451,"44_102.48_103","301-500"
"301","44_101","48_103",470,"44_101.48_103","301-500"
"302","44_100","48_103",501,"44_100.48_103","501-700"
"303","44_99","48_103",540,"44_99.48_103","501-700"
"304","44_98","48_103",587,"44_98.48_103","501-700"
"305","44_97","48_103",640,"44_97.48_103","501-700"
"306","44_89","48_103",1161,"44_89.48_103","1101-1300"
"307","43_102","48_103",561,"43_102.48_103","501-700"
"308","43_100","48_103",602,"43_100.48_103","501-700"
"309","43_99","48_103",636,"43_99.48_103","501-700"
"310","43_97","48_103",724,"43_97.48_103","701-900"
"311","43_89","48_103",1216,"43_89.48_103","1101-1300"
"312","42_103","48_103",667,"42_103.48_103","501-700"
"313","42_102","48_103",671,"42_102.48_103","501-700"
"314","42_101","48_103",685,"42_101.48_103","501-700"
"315","42_99","48_103",736,"42_99.48_103","701-900"
"316","42_98","48_103",773,"42_98.48_103","701-900"
"317","42_95","48_103",913,"42_95.48_103","901-1100"
"318","42_90","48_103",1213,"42_90.48_103","1101-1300"
"319","42_89","48_103",1278,"42_89.48_103","1101-1300"
"320","41_103","48_103",778,"41_103.48_103","701-900"
"321","41_102","48_103",782,"41_102.48_103","701-900"
"322","41_101","48_103",794,"41_101.48_103","701-900"
"323","41_100","48_103",813,"41_100.48_103","701-900"
"324","41_92","48_103",1163,"41_92.48_103","1101-1300"
"325","41_90","48_103",1284,"41_90.48_103","1101-1300"
"326","41_76","48_103",2252,"41_76.48_103",">1500"
"327","40_103","48_103",889,"40_103.48_103","701-900"
"328","40_102","48_103",893,"40_102.48_103","701-900"
"329","40_101","48_103",903,"40_101.48_103","901-1100"
"330","40_99","48_103",944,"40_99.48_103","901-1100"
