"","pairid","state1","state2","dist","dcat","reg"
"304","SD-GA","GA","SD",1956,">1500","both"
"305","TX-GA","GA","TX",1506,">1500","both"
"306","UT-GA","GA","UT",2639,">1500","both"
"307","VA-GA","GA","VA",681,"501-700","east"
"308","WY-GA","GA","WY",2401,">1500","both"
"309","PR-GA","GA","PR",2332,">1500","both"
"310","OR-GA","GA","OR",3445,">1500","both"
"311","WV-GA","GA","WV",713,"701-900","east"
"312","AL-GA","GA","AL",317,"301-500","east"
"313","AK-GA","GA","AK",5795,">1500","both"
"314","CO-GA","GA","CO",2111,">1500","both"
"315","DE-GA","GA","DE",1005,"901-1100","east"
"316","DC-GA","GA","DC",905,"901-1100","both"
"317","HI-GA","GA","HI",7221,">1500","both"
"318","IN-GA","GA","IN",845,"701-900","east"
"319","KY-GA","GA","KY",567,"501-700","east"
"320","ME-GA","GA","ME",1868,">1500","east"
"321","MA-GA","GA","MA",1480,"1301-1500","east"
"322","MI-GA","GA","MI",1207,"1101-1300","east"
"323","MT-GA","GA","MT",2731,">1500","both"
"324","NH-GA","GA","NH",1604,">1500","east"
"325","NM-GA","GA","NM",2110,">1500","both"
"326","NC-GA","GA","NC",495,"301-500","east"
"327","OK-GA","GA","OK",1336,"1301-1500","both"
"328","VI-GA","GA","VI",2497,">1500","both"
"329","RI-GA","GA","RI",1452,"1301-1500","east"
"330","TN-GA","GA","TN",444,"301-500","east"
"331","VT-GA","GA","VT",1577,">1500","east"
"332","WA-GA","GA","WA",3511,">1500","both"
"333","WI-GA","GA","WI",1447,"1301-1500","east"
"334","AS-GA","GA","AS",10608,">1500","both"
"335","GU-GA","GA","GU",12787,">1500","both"
"336","MP-GA","GA","MP",12575,">1500","both"
"337","AZ-ID","ID","AZ",1150,"1101-1300","west"
"338","AR-ID","ID","AR",2169,">1500","west"
"339","CA-ID","ID","CA",895,"701-900","west"
"340","CT-ID","ID","CT",3395,">1500","both"
"341","FL-ID","ID","FL",3336,">1500","both"
"342","GA-ID","ID","GA",2993,">1500","both"
"344","IL-ID","ID","IL",2147,">1500","both"
"345","IA-ID","ID","IA",1733,">1500","west"
"346","KS-ID","ID","KS",1507,">1500","west"
"347","LA-ID","ID","LA",2474,">1500","west"
"348","MD-ID","ID","MD",3179,">1500","both"
"349","MN-ID","ID","MN",1604,">1500","west"
"350","MS-ID","ID","MS",2517,">1500","both"
"351","MO-ID","ID","MO",1965,">1500","west"
"352","NE-ID","ID","NE",1251,"1101-1300","west"
"353","NV-ID","ID","NV",583,"501-700","west"
"354","NJ-ID","ID","NJ",3299,">1500","both"
"355","NY-ID","ID","NY",3132,">1500","both"
"356","ND-ID","ID","ND",1150,"1101-1300","west"
"357","OH-ID","ID","OH",2648,">1500","both"
"358","PA-ID","ID","PA",3023,">1500","both"
"359","SC-ID","ID","SC",3115,">1500","both"
"360","SD-ID","ID","SD",1148,"1101-1300","west"
"361","TX-ID","ID","TX",1959,">1500","west"
"362","UT-ID","ID","UT",615,"501-700","west"
"363","VA-ID","ID","VA",3081,">1500","both"
"364","WY-ID","ID","WY",593,"501-700","west"
"365","PR-ID","ID","PR",5321,">1500","west"
"366","OR-ID","ID","OR",474,"301-500","west"
"367","WV-ID","ID","WV",2891,">1500","both"
"368","AL-ID","ID","AL",2726,">1500","both"
"369","AK-ID","ID","AK",3244,">1500","west"
"370","CO-ID","ID","CO",965,"901-1100","west"
"371","DE-ID","ID","DE",3282,">1500","both"
"372","DC-ID","ID","DC",3166,">1500","west"
"373","HI-ID","ID","HI",4666,">1500","west"
"374","IN-ID","ID","IN",2386,">1500","both"
"375","KY-ID","ID","KY",2572,">1500","both"
"376","ME-ID","ID","ME",3543,">1500","both"
"377","MA-ID","ID","MA",3442,">1500","both"
"378","MI-ID","ID","MI",2400,">1500","both"
"379","MT-ID","ID","MT",489,"301-500","west"
"380","NH-ID","ID","NH",3414,">1500","both"
"381","NM-ID","ID","NM",1328,"1301-1500","west"
"382","NC-ID","ID","NC",3144,">1500","both"
"383","OK-ID","ID","OK",1756,">1500","west"
"384","VI-ID","ID","VI",5490,">1500","west"
"385","RI-ID","ID","RI",3482,">1500","both"
"386","TN-ID","ID","TN",2578,">1500","both"
"387","VT-ID","ID","VT",3318,">1500","both"
"388","WA-ID","ID","WA",557,"501-700","west"
"389","WI-ID","ID","WI",1952,">1500","both"
"390","AS-ID","ID","AS",8619,">1500","west"
"391","GU-ID","ID","GU",9796,">1500","west"
"392","MP-ID","ID","MP",9584,">1500","west"
"393","AZ-IL","IL","AZ",2089,">1500","both"
"394","AR-IL","IL","AR",641,"501-700","both"
"395","CA-IL","IL","CA",2652,">1500","both"
"396","CT-IL","IL","CT",1398,"1301-1500","east"
"397","FL-IL","IL","FL",1407,"1301-1500","east"
"398","GA-IL","IL","GA",971,"901-1100","east"
"399","ID-IL","IL","ID",2147,">1500","both"
"401","IA-IL","IL","IA",425,"301-500","both"
"402","KS-IL","IL","KS",811,"701-900","both"
"403","LA-IL","IL","LA",1031,"901-1100","both"
"404","MD-IL","IL","MD",1074,"901-1100","east"
"405","MN-IL","IL","MN",809,"701-900","both"
"406","MS-IL","IL","MS",813,"701-900","east"
"407","MO-IL","IL","MO",340,"301-500","both"
"408","NE-IL","IL","NE",910,"901-1100","both"
"409","NV-IL","IL","NV",2346,">1500","both"
"410","NJ-IL","IL","NJ",1238,"1101-1300","east"
"411","NY-IL","IL","NY",1186,"1101-1300","east"
"412","ND-IL","IL","ND",1221,"1101-1300","both"
"413","OH-IL","IL","OH",546,"501-700","east"
"414","PA-IL","IL","PA",970,"901-1100","east"
"415","SC-IL","IL","SC",1006,"901-1100","east"
"416","SD-IL","IL","SD",1031,"901-1100","both"
"417","TX-IL","IL","TX",1321,"1301-1500","both"
"418","UT-IL","IL","UT",1925,">1500","both"
"419","VA-IL","IL","VA",939,"901-1100","east"
"420","WY-IL","IL","WY",1563,">1500","both"
"421","PR-IL","IL","PR",3259,">1500","both"
"422","OR-IL","IL","OR",2617,">1500","both"
"423","WV-IL","IL","WV",756,"701-900","east"
"424","AL-IL","IL","AL",835,"701-900","east"
"425","AK-IL","IL","AK",4824,">1500","both"
"426","CO-IL","IL","CO",1409,"1301-1500","both"
"427","DE-IL","IL","DE",1183,"1101-1300","east"
"428","DC-IL","IL","DC",1055,"901-1100","both"
"429","HI-IL","IL","HI",6640,">1500","both"
"430","IN-IL","IL","IN",250,"100-300","east"
"431","KY-IL","IL","KY",441,"301-500","east"
