"","Year","Index","Q25","Q975","Stratum"
"3795",2016,3.36141386401425,1.2913006570061,5.91482120883781,"36_-100"
"3796",2017,3.34878885508432,1.12568376051777,5.78176227887807,"36_-100"
"3797",1966,21.3748798955484,3.6989575248744,77.9013802044275,"34_-96"
"3798",1967,20.0949117800363,4.6901048946735,70.5740669032873,"34_-96"
"3799",1968,19.6908949870476,5.63082586843452,66.225184097443,"34_-96"
"3800",1969,18.5815361978648,5.57628952915468,62.2947133810173,"34_-96"
"3801",1970,15.9408121926373,4.69337651341321,40.6237658134422,"34_-96"
"3802",1971,15.3851970728616,5.11944597459751,38.6171772525244,"34_-96"
"3803",1972,14.1236314656523,4.05169899050551,39.8899194800266,"34_-96"
"3804",1973,12.7191185009531,3.46567104218777,30.9403326887569,"34_-96"
"3805",1974,13.7692320928167,3.88507896329865,37.7428079931624,"34_-96"
"3806",1975,14.3967647035997,4.00744760541763,37.3594438262312,"34_-96"
"3807",1976,15.1463958897031,4.43454288048461,37.9871853756557,"34_-96"
"3808",1977,20.8203805246591,6.13045933649678,52.3423433959149,"34_-96"
"3809",1978,20.5234298093898,6.24461655587078,48.0854321696157,"34_-96"
"3810",1979,19.2815538648362,6.18754644948627,44.6729397380537,"34_-96"
"3811",1980,11.2379521823599,3.43076821673689,26.148138816787,"34_-96"
"3812",1981,8.38782747077407,2.35576808876667,23.3214098959758,"34_-96"
"3813",1982,8.43027152483475,2.74992344691438,19.6771700908944,"34_-96"
"3814",1983,7.48232445025297,2.30274980422278,19.2553543597651,"34_-96"
"3815",1984,5.9626501660085,2.03040802634958,15.4394073074612,"34_-96"
"3816",1985,5.45556273114402,1.93151567510048,12.937027832046,"34_-96"
"3817",1986,6.0684379586693,2.05486992813811,14.7048918520585,"34_-96"
"3818",1987,7.51765415816891,2.47171766155,19.9882607162858,"34_-96"
"3819",1988,9.91191149613395,3.59354433899077,29.7096463229062,"34_-96"
"3820",1989,9.59163332745579,3.51858386672117,25.798585239685,"34_-96"
"3821",1990,8.65737636047762,3.27393810008043,23.4245024664101,"34_-96"
"3822",1991,7.29579208366872,2.65199680851433,18.5884628952525,"34_-96"
"3823",1992,7.68127494502732,2.76011868515718,19.9956723620834,"34_-96"
"3824",1993,7.13928278240973,2.2820450535588,18.8874228951565,"34_-96"
"3825",1994,9.09036927086042,2.6263646974905,29.2951795761876,"34_-96"
"3826",1995,8.60923460590441,2.71582581171025,23.4002733992128,"34_-96"
"3827",1996,6.80786396801945,2.06361202511553,20.963455062828,"34_-96"
"3828",1997,3.93682401046284,0.998307420682512,13.8968826506729,"34_-96"
"3829",1998,2.44600677203226,0.545546594079032,7.3971794479184,"34_-96"
"3830",1999,1.94137502984788,0.37883077700908,6.40900939291894,"34_-96"
"3831",2000,1.79650041632717,0.339557685817078,6.4481570093426,"34_-96"
"3832",2001,1.64311564282551,0.320365824766443,5.21374709376631,"34_-96"
"3833",2002,1.41471550341552,0.300717435689475,4.51058287289817,"34_-96"
"3834",2003,1.46751878612721,0.296181948129199,4.91394381045293,"34_-96"
"3835",2004,1.10003598259713,0.18872664362864,3.20352804919239,"34_-96"
"3836",2005,1.00611991098103,0.195197404983128,3.36937188642863,"34_-96"
