"","Year","Index","Q25","Q975","Stratum"
"1356",1969,1.514585295539,1.03462249903384,2.14769228115905,"OH"
"1357",1970,1.32583566696279,0.906153319275254,1.91618173948087,"OH"
"1358",1971,1.20801893565967,0.808792479838185,1.75826285789246,"OH"
"1359",1972,1.06683531389499,0.717146243474091,1.57199922440088,"OH"
"1360",1973,0.782587759589291,0.528306293669267,1.13757022805932,"OH"
"1361",1974,0.763605933873156,0.503759373862362,1.12351223880754,"OH"
"1362",1975,0.681351970107303,0.448087595431424,1.00571057449124,"OH"
"1363",1976,0.527188879970784,0.345467583879881,0.769070462791685,"OH"
"1364",1977,0.507178529269625,0.3390363464776,0.750555489588921,"OH"
"1365",1978,0.420718841788465,0.270317053950749,0.624038978285646,"OH"
"1366",1979,0.38612757840164,0.2449696780547,0.581878674325493,"OH"
"1367",1980,0.401511718731883,0.255797647909199,0.601455588992082,"OH"
"1368",1981,0.448678812910462,0.307008470035462,0.66421122125837,"OH"
"1369",1982,0.411834056420194,0.273682847334061,0.605322419246383,"OH"
"1370",1983,0.337549747411893,0.21963720822624,0.498549242854457,"OH"
"1371",1984,0.257607868074673,0.16187285291039,0.388535682542023,"OH"
"1372",1985,0.250954347879922,0.159713258493421,0.378985258287248,"OH"
"1373",1986,0.221125567464716,0.138621739507138,0.332785238361553,"OH"
"1374",1987,0.23793331250351,0.15230763352643,0.362537595736686,"OH"
"1375",1988,0.233651366566005,0.148721388111233,0.35147334615423,"OH"
"1376",1989,0.209205772284286,0.130054850861732,0.3190760501216,"OH"
"1377",1990,0.217433490085358,0.137841687298445,0.329098637620738,"OH"
"1378",1991,0.18172054630488,0.116299720559172,0.275279589022318,"OH"
"1379",1992,0.196125285280494,0.127274098015019,0.295273184974222,"OH"
"1380",1993,0.181959761453567,0.117366329053721,0.276263814200455,"OH"
"1381",1994,0.191295859536911,0.123673191568543,0.288771530417716,"OH"
"1382",1995,0.188897638430107,0.121342779122959,0.279994828003858,"OH"
"1383",1996,0.185233778753625,0.11908408597594,0.27447682530375,"OH"
"1384",1997,0.188499401245764,0.120277453237784,0.281189709163829,"OH"
"1385",1998,0.17443658260243,0.112452042302856,0.263260717246263,"OH"
"1386",1999,0.164821691822316,0.102456089632692,0.250785618100904,"OH"
"1387",2000,0.140833328881009,0.0864084370008428,0.213984852906678,"OH"
"1388",2001,0.13971637269338,0.0857792334880183,0.217229618263312,"OH"
"1389",2002,0.111925320684774,0.068387751792725,0.178677023664929,"OH"
"1390",2003,0.0713158562378665,0.0407863459954452,0.114460052533748,"OH"
"1391",2004,0.0559995456851599,0.0316050792969741,0.0896963398568012,"OH"
"1392",2005,0.0469152119594598,0.0250297098634052,0.0737261961971937,"OH"
"1393",2006,0.0464249777464628,0.0269857581084356,0.0751689686171008,"OH"
"1394",2007,0.041771890821565,0.0232327301137104,0.0684521180180035,"OH"
"1395",2008,0.039456611578203,0.0220510773995426,0.06884184750339,"OH"
"1396",2009,0.0368431866354944,0.0211430080732301,0.0609039159880896,"OH"
"1397",2010,0.0334363179767077,0.0185404525095129,0.0568314601154385,"OH"
"1398",2011,0.027918357204891,0.0143697938694519,0.0465677230536952,"OH"
"1399",2012,0.0255612629379592,0.0129495476002744,0.0437278130637372,"OH"
"1400",2013,0.0245571391464346,0.0117268103230587,0.0442029994529522,"OH"
"1401",2014,0.0244401480252314,0.0114204350397789,0.0447298842312799,"OH"
"1402",2015,0.0266290636241927,0.0126556016044196,0.049237199523789,"OH"
"1403",2016,0.0282602738771798,0.0126266046829945,0.051193626365377,"OH"
"1404",2017,0.0317969079999181,0.0131888792405688,0.06156762453586,"OH"
"1405",1966,0.872084370281318,0.39133762277036,1.5222362478226,"NH"
"1406",1967,0.878085089321627,0.411501254676271,1.5184049219223,"NH"
"1407",1968,0.859467305861651,0.410634498234385,1.45915630771435,"NH"
"1408",1969,0.859576538517612,0.416728125356726,1.48338387962708,"NH"
"1409",1970,0.836811773555371,0.398912459581498,1.45022486541101,"NH"
"1410",1971,0.83129206480897,0.400582550043907,1.4432740080517,"NH"
"1411",1972,0.819355636532475,0.396050842612752,1.42693985581932,"NH"
"1412",1973,0.819864336866516,0.396094496915297,1.41831624448673,"NH"
"1413",1974,0.833594650199238,0.407680810678036,1.4291972148969,"NH"
"1414",1975,0.862404559598169,0.442213871727583,1.45411635773255,"NH"
"1415",1976,0.876654356801919,0.443760907401433,1.45564885206554,"NH"
"1416",1977,0.902634498058215,0.480984285786435,1.46973417017323,"NH"
"1417",1978,0.886629804010855,0.466905905977601,1.4531774807683,"NH"
"1418",1979,0.858653986633906,0.436139143540843,1.41500284272478,"NH"
"1419",1980,0.870323837074664,0.441218790929461,1.40227566328453,"NH"
"1420",1981,0.918615227782267,0.488048083768145,1.45794801250711,"NH"
"1421",1982,0.952440144666728,0.505773231576939,1.46613852245442,"NH"
"1422",1983,0.998904448431179,0.555254792913429,1.50055550952826,"NH"
"1423",1984,1.08456739856077,0.636366850607871,1.61030718664744,"NH"
"1424",1985,1.17099998690924,0.738922809602904,1.72551103549401,"NH"
"1425",1986,1.23823924807187,0.811835094256027,1.82398564976294,"NH"
"1426",1987,1.27160639135639,0.839542766028102,1.85267968986492,"NH"
"1427",1988,1.36554648822544,0.935327822235603,1.97627983824517,"NH"
"1428",1989,1.51751989739192,1.05064226046467,2.25964595827709,"NH"
"1429",1990,1.66994464062138,1.13788303776501,2.52077860062173,"NH"
"1430",1991,1.82839397826821,1.17155912528488,2.83293289430909,"NH"
"1431",1992,1.72178945050923,1.15411741327488,2.63876767476054,"NH"
"1432",1993,1.5695884961513,1.1091114773845,2.2916079834356,"NH"
"1433",1994,1.40498906887332,1.02763222584605,1.93778543774397,"NH"
"1434",1995,1.31066742165169,0.989789362522322,1.77580639542684,"NH"
"1435",1996,1.17526290661713,0.85379145430389,1.56202325720079,"NH"
"1436",1997,1.13102015552915,0.825601188192341,1.52020992785811,"NH"
"1437",1998,1.13892090831985,0.837192346510624,1.53084000275352,"NH"
"1438",1999,1.20391467165332,0.903425356967899,1.63093864579582,"NH"
"1439",2000,1.18199850536336,0.884623005602642,1.59685338149002,"NH"
"1440",2001,1.1785528796757,0.899418456983384,1.59078061224852,"NH"
"1441",2002,1.20979676691427,0.941518537373124,1.62846195686131,"NH"
"1442",2003,1.19415657891866,0.915753069005491,1.58591825751642,"NH"
"1443",2004,1.18983998073306,0.902688352598678,1.59536931081959,"NH"
"1444",2005,1.18607422549589,0.903307504571096,1.56680979228261,"NH"
"1445",2006,1.21078413022082,0.917900918719827,1.62073208073963,"NH"
"1446",2007,1.16556050088425,0.88416162713476,1.55935296499945,"NH"
"1447",2008,1.1310156824115,0.859471685032531,1.50509527683627,"NH"
"1448",2009,1.0595466371507,0.798719342036454,1.41523239199835,"NH"
"1449",2010,1.03646745296252,0.768265925150242,1.38601475595103,"NH"
"1450",2011,1.09440617376756,0.832766350151987,1.48774148453091,"NH"
"1451",2012,1.04421697916137,0.780125899314575,1.4439660812216,"NH"
"1452",2013,0.948276793648403,0.684782560093617,1.2642625240019,"NH"
"1453",2014,0.929885460716164,0.669979586965991,1.23261370390079,"NH"
"1454",2015,0.883338092458781,0.618944055638837,1.17390874600445,"NH"
"1455",2016,0.928154323576771,0.659995989115613,1.23349709100533,"NH"
"1456",2017,1.04296218680065,0.734800762580381,1.46316761564018,"NH"
"1457",1966,80.3728543655084,41.4233482254346,137.8079372965,"NJ"
"1458",1967,78.7609275126221,47.3572756709471,122.424239779611,"NJ"
"1459",1968,88.2291849833715,58.7398696090718,126.149359649567,"NJ"
"1460",1969,93.1530384703909,65.0244490557196,130.512928876764,"NJ"
"1461",1970,101.387803591927,70.9636110813547,142.189866375996,"NJ"
"1462",1971,88.515837608309,61.6819019686679,122.868589941295,"NJ"
